Experiment: 20251212_SPOCK1_DN-TRES  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	26,44		0	
True	255	A2	Sample 2	25,28		0	
True	255	A3	Sample 3	24,96		0	
True	255	A4	Sample 4	25,09		0	
True	255	A5	Sample 5	24,96		0	
True	255	A6	Sample 6	24,67		0	
True	255	A7	Sample 7	26,74		0	
True	255	A8	Sample 8	26,09		0	
True	255	A9	Sample 9	25,19		0	
True	255	A10	Sample 10	24,98		0	
True	255	A11	Sample 11	21,26		0	
True	255	A12	Sample 12	29,92		0	
True	255	A13	Sample 13	23,96		0	
True	255	A14	Sample 14	23,08		0	
True	255	A15	Sample 15	23,00		0	
True	255	A16	Sample 16	22,70		0	
True	255	A17	Sample 17	22,61		0	
True	255	A18	Sample 18	22,31		0	
True	255	A19	Sample 19	22,52		0	
True	255	A20	Sample 20	22,24		0	
True	255	A21	Sample 21	20,94		0	
True	255	A22	Sample 22	22,14		0	
True	255	A23	Sample 23	22,10		0	
True	255	A24	Sample 24	21,94		0	
True	255	B1	Sample 25	27,12		0	
True	255	B2	Sample 26	26,72		0	
True	255	B3	Sample 27	25,67		0	
True	255	B4	Sample 28	23,27		0	
True	255	B5	Sample 29	23,19		0	
True	255	B6	Sample 30	22,83		0	
True	255	B7	Sample 31	27,21		0	
True	255	B8	Sample 32	26,46		0	
True	255	B9	Sample 33	24,94		0	
True	255	B10	Sample 34	24,20		0	
True	255	B11	Sample 35	23,92		0	
True	255	B12	Sample 36	22,09		0	
True	255	B13	Sample 37	22,78		0	
True	255	B14	Sample 38	22,61		0	
True	255	B15	Sample 39	21,20		0	
True	255	B16	Sample 40	24,33		0	
True	255	B17	Sample 41	24,20		0	
True	255	B18	Sample 42	21,98		0	
True	255	B19	Sample 43	22,98		0	
True	255	B20	Sample 44	22,07		0	
True	255	B21	Sample 45	20,78		0	
True	255	B22	Sample 46	21,70		0	
True	255	B23	Sample 47	21,65		0	
True	255	B24	Sample 48	21,49		0	
True	255	C1	Sample 49	30,75		0	
True	255	C2	Sample 50	30,84		0	
True	255	C3	Sample 51	31,50		0	
True	255	C4	Sample 52	30,52		0	
True	255	C5	Sample 53	30,56		0	
True	255	C6	Sample 54	31,12		0	
True	255	C7	Sample 55	32,28		0	
True	255	C8	Sample 56	32,82		0	
True	255	C9	Sample 57	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	C10	Sample 58	27,69		0	
True	255	C11	Sample 59	26,32		0	
True	65280	C12	Sample 60			0	
True	255	C13	Sample 61	31,52		0	
True	255	C14	Sample 62	31,57		0	
True	255	C15	Sample 63	31,69		0	
True	255	C16	Sample 64	30,62		0	
True	255	C17	Sample 65	30,66		0	
True	255	C18	Sample 66	30,67		0	
True	255	C19	Sample 67	31,71		0	
True	255	C20	Sample 68	31,25		0	
True	255	C21	Sample 69	32,85		0	
True	255	C22	Sample 70	31,14		0	
True	255	C23	Sample 71	31,15		0	
True	255	C24	Sample 72	31,24		0	
True	255	D1	Sample 73	35,00		0	> - Late Cp call (last five cycles) has higher uncertainty
